group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
pedas list add,,,,,1181273.0,ns,3
pedas list add,,,,,2229648.0,ns,6
pedas list add,,,,,3514453.0,ns,9
pedas list add,,,,,4498151.0,ns,12
pedas list add,,,,,5600096.0,ns,15
pedas list add,,,,,6862587.0,ns,18
pedas list add,,,,,8212559.0,ns,21
pedas list add,,,,,9066775.0,ns,24
pedas list add,,,,,10308599.0,ns,27
pedas list add,,,,,11346049.0,ns,30
pedas list add,,,,,12445271.0,ns,33
pedas list add,,,,,13476533.0,ns,36
pedas list add,,,,,14728376.0,ns,39
pedas list add,,,,,18719896.0,ns,42
pedas list add,,,,,17079014.0,ns,45
pedas list add,,,,,18078100.0,ns,48
pedas list add,,,,,19112621.0,ns,51
pedas list add,,,,,20199438.0,ns,54
pedas list add,,,,,21317606.0,ns,57
pedas list add,,,,,22558855.0,ns,60
pedas list add,,,,,23625686.0,ns,63
pedas list add,,,,,24785388.0,ns,66
pedas list add,,,,,25791206.0,ns,69
pedas list add,,,,,26967550.0,ns,72
pedas list add,,,,,28203752.0,ns,75
pedas list add,,,,,29298744.0,ns,78
pedas list add,,,,,30607047.0,ns,81
pedas list add,,,,,31390495.0,ns,84
pedas list add,,,,,32850098.0,ns,87
pedas list add,,,,,33795231.0,ns,90
pedas list add,,,,,34797824.0,ns,93
pedas list add,,,,,38016128.0,ns,96
pedas list add,,,,,37649047.0,ns,99
pedas list add,,,,,40044684.0,ns,102
pedas list add,,,,,40647084.0,ns,105
pedas list add,,,,,40915057.0,ns,108
pedas list add,,,,,41885617.0,ns,111
pedas list add,,,,,43079561.0,ns,114
pedas list add,,,,,44203309.0,ns,117
pedas list add,,,,,45232932.0,ns,120
pedas list add,,,,,46174099.0,ns,123
pedas list add,,,,,47241442.0,ns,126
pedas list add,,,,,48270764.0,ns,129
pedas list add,,,,,49630004.0,ns,132
pedas list add,,,,,50592680.0,ns,135
pedas list add,,,,,52053233.0,ns,138
pedas list add,,,,,52810719.0,ns,141
pedas list add,,,,,53905456.0,ns,144
pedas list add,,,,,55254449.0,ns,147
pedas list add,,,,,56411533.0,ns,150
pedas list add,,,,,57608843.0,ns,153
pedas list add,,,,,58664147.0,ns,156
pedas list add,,,,,60835589.0,ns,159
pedas list add,,,,,60823471.0,ns,162
pedas list add,,,,,63530967.0,ns,165
pedas list add,,,,,63159630.0,ns,168
pedas list add,,,,,64347505.0,ns,171
pedas list add,,,,,65501966.0,ns,174
pedas list add,,,,,66222148.0,ns,177
pedas list add,,,,,67467791.0,ns,180
pedas list add,,,,,68781055.0,ns,183
pedas list add,,,,,69671597.0,ns,186
pedas list add,,,,,70908062.0,ns,189
pedas list add,,,,,71873344.0,ns,192
pedas list add,,,,,75055488.0,ns,195
pedas list add,,,,,74608701.0,ns,198
pedas list add,,,,,76961029.0,ns,201
pedas list add,,,,,78386089.0,ns,204
pedas list add,,,,,79688208.0,ns,207
pedas list add,,,,,79198432.0,ns,210
pedas list add,,,,,80092074.0,ns,213
pedas list add,,,,,81260030.0,ns,216
pedas list add,,,,,81954990.0,ns,219
pedas list add,,,,,83788098.0,ns,222
pedas list add,,,,,85921130.0,ns,225
pedas list add,,,,,86645015.0,ns,228
pedas list add,,,,,88630295.0,ns,231
pedas list add,,,,,88589350.0,ns,234
pedas list add,,,,,89130109.0,ns,237
pedas list add,,,,,90906446.0,ns,240
pedas list add,,,,,91658074.0,ns,243
pedas list add,,,,,92637934.0,ns,246
pedas list add,,,,,93638540.0,ns,249
pedas list add,,,,,94407661.0,ns,252
pedas list add,,,,,95751619.0,ns,255
pedas list add,,,,,97306426.0,ns,258
pedas list add,,,,,97933880.0,ns,261
pedas list add,,,,,101081921.0,ns,264
pedas list add,,,,,100318393.0,ns,267
pedas list add,,,,,102159643.0,ns,270
pedas list add,,,,,103299261.0,ns,273
pedas list add,,,,,103666050.0,ns,276
pedas list add,,,,,104993143.0,ns,279
pedas list add,,,,,106597084.0,ns,282
pedas list add,,,,,109798562.0,ns,285
pedas list add,,,,,109464876.0,ns,288
pedas list add,,,,,109195625.0,ns,291
pedas list add,,,,,110681947.0,ns,294
pedas list add,,,,,112473832.0,ns,297
pedas list add,,,,,113856632.0,ns,300
